Date,Source Currency,Target Currency,Exchange Rate
2024-01-09,JPY,USD,1.1342
2024-01-09,AUD,USD,1.1856
2024-01-09,CAD,USD,1.3554
2024-01-09,CHF,USD,1.1121
2024-01-09,CNY,USD,1.2981
2024-01-09,SEK,USD,0.7617
2024-01-09,NZD,USD,1.4272
2024-01-09,SGD,USD,0.6656
2024-01-09,HKD,USD,1.2751
2024-01-09,KRW,USD,1.248
2024-01-09,BRL,USD,1.2676
2024-01-09,ZAR,USD,0.9169
2024-01-10,EUR,USD,0.5345
2024-01-10,GBP,USD,1.0784
2024-01-10,INR,USD,1.2571
2024-01-10,JPY,USD,1.3214
2024-01-10,AUD,USD,1.0082
2024-01-10,CAD,USD,1.2174
2024-01-10,CHF,USD,1.4233
2024-01-10,CNY,USD,0.5367
2024-01-10,SEK,USD,1.2457
2024-01-10,NZD,USD,1.371
2024-01-10,SGD,USD,1.4433
2024-01-10,HKD,USD,1.0551
2024-01-10,KRW,USD,1.3634
2024-01-10,BRL,USD,1.4992
2024-01-10,ZAR,USD,0.9048
2024-01-11,EUR,USD,0.9516
2024-01-11,GBP,USD,1.0251
2024-01-11,INR,USD,1.3275
2024-01-11,JPY,USD,1.3985
2024-01-11,AUD,USD,0.6303
2024-01-11,CAD,USD,0.6308
2024-01-11,CHF,USD,0.8701
2024-01-11,CNY,USD,1.3651
2024-01-11,SEK,USD,1.4641
2024-01-11,NZD,USD,1.1353
2024-01-11,SGD,USD,1.4791
2024-01-11,HKD,USD,1.4319
2024-01-11,KRW,USD,0.5879
2024-01-11,BRL,USD,0.6098
2024-01-11,ZAR,USD,0.6924
2024-01-12,EUR,USD,0.7856
2024-01-12,GBP,USD,1.1142
2024-01-12,INR,USD,0.6925
2024-01-12,JPY,USD,0.9104
2024-01-12,AUD,USD,0.6081
2024-01-12,CAD,USD,0.7641
2024-01-12,CHF,USD,1.0686
2024-01-12,CNY,USD,1.3218
2024-01-12,SEK,USD,0.7005
2024-01-12,NZD,USD,1.3992
2024-01-12,SGD,USD,1.4319
2024-01-12,HKD,USD,0.8909
2024-01-12,KRW,USD,0.8893
2024-01-12,BRL,USD,0.9766
2024-01-12,ZAR,USD,1.3077
2024-01-13,EUR,USD,1.1681
2024-01-13,GBP,USD,0.6569
2024-01-13,INR,USD,1.1092
2024-01-13,JPY,USD,1.39
2024-01-13,AUD,USD,1.496
2024-01-13,CAD,USD,1.1825
2024-01-13,CHF,USD,0.8683
2024-01-13,CNY,USD,0.966
2024-01-13,SEK,USD,1.3379
2024-01-13,NZD,USD,1.2305
2024-01-13,SGD,USD,1.0733
2024-01-13,HKD,USD,0.9462
2024-01-13,KRW,USD,1.0144
2024-01-13,BRL,USD,1.0791
2024-01-13,ZAR,USD,1.4746
2024-01-14,EUR,USD,1.0501
2024-01-14,GBP,USD,1.1239
2024-01-14,INR,USD,1.0871
2024-01-14,JPY,USD,1.0311
2024-01-14,AUD,USD,1.3145
2024-01-14,CAD,USD,1.029
2024-01-14,CHF,USD,0.8322
2024-01-14,CNY,USD,0.9638
2024-01-14,SEK,USD,1.1139
2024-01-14,NZD,USD,1.4493
2024-01-14,SGD,USD,1.4458
2024-01-14,HKD,USD,0.6483
2024-01-14,KRW,USD,0.823
2024-01-14,BRL,USD,1.1903
2024-01-14,ZAR,USD,0.7307
2024-01-15,EUR,USD,1.3686
2024-01-15,GBP,USD,0.5979
2024-01-15,INR,USD,0.8593
2024-01-15,JPY,USD,0.8486
2024-01-15,AUD,USD,1.2668
2024-01-15,CAD,USD,0.8101
2024-01-15,CHF,USD,0.9164
2024-01-15,CNY,USD,1.3148
2024-01-15,SEK,USD,0.6156
2024-01-15,NZD,USD,0.5229
2024-01-15,SGD,USD,0.9314
2024-01-15,HKD,USD,1.431
2024-01-15,KRW,USD,0.8155
2024-01-15,BRL,USD,0.5002
2024-01-15,ZAR,USD,1.085
2024-01-16,EUR,USD,0.5458
2024-01-16,GBP,USD,1.3716
2024-01-16,INR,USD,1.2792
2024-01-16,JPY,USD,0.5367
2024-01-16,AUD,USD,0.9925
2024-01-16,CAD,USD,0.5992
2024-01-16,CHF,USD,1.4503
2024-01-16,CNY,USD,1.295
2024-01-16,SEK,USD,0.6122
2024-01-16,NZD,USD,0.7401
2024-01-16,SGD,USD,0.54
2024-01-16,HKD,USD,0.5539
2024-01-16,KRW,USD,1.0358
2024-01-16,BRL,USD,1.0065
2024-01-16,ZAR,USD,1.3968
2024-01-17,EUR,USD,0.9225
2024-01-17,GBP,USD,1.269
2024-01-17,INR,USD,0.5868
2024-01-17,JPY,USD,0.7398
2024-01-17,AUD,USD,1.1997
2024-01-17,CAD,USD,0.6907
2024-01-17,CHF,USD,1.4452
2024-01-17,CNY,USD,0.66
2024-01-17,SEK,USD,1.3303
2024-01-17,NZD,USD,0.7834
2024-01-17,SGD,USD,0.9923
2024-01-17,HKD,USD,0.6103
2024-01-17,KRW,USD,1.4871
2024-01-17,BRL,USD,1.2839
2024-01-17,ZAR,USD,0.8734
2024-01-18,EUR,USD,0.8586
2024-01-18,GBP,USD,0.7638
2024-01-18,INR,USD,1.4647
2024-01-18,JPY,USD,1.192
2024-01-18,AUD,USD,0.5387
2024-01-18,CAD,USD,0.9167
2024-01-18,CHF,USD,1.2454
2024-01-18,CNY,USD,1.1896
2024-01-18,SEK,USD,1.0365
2024-01-18,NZD,USD,0.7572
2024-01-18,SGD,USD,0.6368
2024-01-18,HKD,USD,1.3216
2024-01-18,KRW,USD,0.6695
2024-01-18,BRL,USD,0.9056
2024-01-18,ZAR,USD,1.444
2024-01-19,EUR,USD,0.7564
2024-01-19,GBP,USD,0.8286
2024-01-19,INR,USD,0.7552
2024-01-19,JPY,USD,0.6037
2024-01-19,AUD,USD,0.7407
2024-01-19,CAD,USD,0.7843
2024-01-19,CHF,USD,0.7003
2024-01-19,CNY,USD,1.0301
2024-01-19,SEK,USD,0.6401
2024-01-19,NZD,USD,0.7472
2024-01-19,SGD,USD,0.8253
2024-01-19,HKD,USD,1.4247
2024-01-19,KRW,USD,0.8808
2024-01-19,BRL,USD,0.8919
2024-01-19,ZAR,USD,0.9028
2024-01-20,EUR,USD,0.7319
2024-01-20,GBP,USD,0.558
2024-01-20,INR,USD,1.1985
2024-01-20,JPY,USD,1.219
2024-01-20,AUD,USD,0.7164
2024-01-20,CAD,USD,0.6284
2024-01-20,CHF,USD,0.9127
2024-01-20,CNY,USD,0.7982
2024-01-20,SEK,USD,1.028
2024-01-20,NZD,USD,0.5653
2024-01-20,SGD,USD,0.939
2024-01-20,HKD,USD,0.8515
2024-01-20,KRW,USD,0.6295
2024-01-20,BRL,USD,1.0105
2024-01-20,ZAR,USD,0.9613
2024-01-21,EUR,USD,0.7123
2024-01-21,GBP,USD,1.4488
2024-01-21,INR,USD,1.3701
2024-01-21,JPY,USD,0.6789
2024-01-21,AUD,USD,0.8614
2024-01-21,CAD,USD,0.9562
2024-01-21,CHF,USD,1.4855
2024-01-21,CNY,USD,0.8684
2024-01-21,SEK,USD,0.7964
2024-01-21,NZD,USD,0.5814
2024-01-21,SGD,USD,0.5058
2024-01-21,HKD,USD,0.6866
2024-01-21,KRW,USD,1.3432
2024-01-21,BRL,USD,1.1082
2024-01-21,ZAR,USD,0.8231
2024-01-22,EUR,USD,0.9768
2024-01-22,GBP,USD,0.6077
2024-01-22,INR,USD,1.3363
2024-01-22,JPY,USD,1.2113
2024-01-22,AUD,USD,1.165
2024-01-22,CAD,USD,0.7022
2024-01-22,CHF,USD,1.3027
2024-01-22,CNY,USD,0.9937
2024-01-22,SEK,USD,0.7868
2024-01-22,NZD,USD,1.1804
2024-01-22,SGD,USD,0.7723
2024-01-22,HKD,USD,0.8616
2024-01-22,KRW,USD,1.0449
2024-01-22,BRL,USD,0.6086
2024-01-22,ZAR,USD,0.7211
2024-01-23,EUR,USD,0.7604
2024-01-23,GBP,USD,0.5773
2024-01-23,INR,USD,0.966
2024-01-23,JPY,USD,1.1035
2024-01-23,AUD,USD,0.8574
2024-01-23,CAD,USD,1.3555
2024-01-23,CHF,USD,1.1787
2024-01-23,CNY,USD,0.5273
2024-01-23,SEK,USD,0.6979
2024-01-23,NZD,USD,0.8188
2024-01-23,SGD,USD,1.2352
2024-01-23,HKD,USD,1.4403
2024-01-23,KRW,USD,0.9861
2024-01-23,BRL,USD,1.3349
2024-01-23,ZAR,USD,1.3291
2024-01-24,EUR,USD,0.9228
2024-01-24,GBP,USD,0.8245
2024-01-24,INR,USD,0.8627
2024-01-24,JPY,USD,0.5505
2024-01-24,AUD,USD,0.9884
2024-01-24,CAD,USD,1.4996
2024-01-24,CHF,USD,1.3225
2024-01-24,CNY,USD,0.8057
2024-01-24,SEK,USD,1.2589
2024-01-24,NZD,USD,0.9152
2024-01-24,SGD,USD,0.7362
2024-01-24,HKD,USD,0.8737
2024-01-24,KRW,USD,0.6519
2024-01-24,BRL,USD,0.8362
2024-01-24,ZAR,USD,1.0098
2024-01-25,EUR,USD,0.6931
2024-01-25,GBP,USD,1.2917
2024-01-25,INR,USD,0.6876
2024-01-25,JPY,USD,0.932
2024-01-25,AUD,USD,1.0053
2024-01-25,CAD,USD,0.5343
2024-01-25,CHF,USD,0.7678
2024-01-25,CNY,USD,1.1343
2024-01-25,SEK,USD,0.8359
2024-01-25,NZD,USD,0.705
2024-01-25,SGD,USD,0.7771
2024-01-25,HKD,USD,0.8095
2024-01-25,KRW,USD,0.6958
2024-01-25,BRL,USD,1.0693
2024-01-25,ZAR,USD,1.0325
2024-01-26,EUR,USD,0.6962
2024-01-26,GBP,USD,0.552
2024-01-26,INR,USD,0.964
2024-01-26,JPY,USD,1.2824
2024-01-26,AUD,USD,1.1637
2024-01-26,CAD,USD,1.211
2024-01-26,CHF,USD,1.2507
2024-01-26,CNY,USD,1.0528
2024-01-26,SEK,USD,0.8853
2024-01-26,NZD,USD,1.129
2024-01-26,SGD,USD,1.0152
2024-01-26,HKD,USD,0.7748
2024-01-26,KRW,USD,0.8194
2024-01-26,BRL,USD,1.2218
2024-01-26,ZAR,USD,1.3365
2024-01-27,EUR,USD,1.1631
2024-01-27,GBP,USD,1.0553
2024-01-27,INR,USD,0.8063
2024-01-27,JPY,USD,0.9943
2024-01-27,AUD,USD,0.8974
2024-01-27,CAD,USD,1.1939
2024-01-27,CHF,USD,0.8109
2024-01-27,CNY,USD,0.9724
2024-01-27,SEK,USD,0.824
2024-01-27,NZD,USD,0.5243
2024-01-27,SGD,USD,1.0439
2024-01-27,HKD,USD,1.3783
2024-01-27,KRW,USD,0.9706
2024-01-27,BRL,USD,1.4977
2024-01-27,ZAR,USD,0.9436
2024-01-28,EUR,USD,1.1448
2024-01-28,GBP,USD,0.8906
2024-01-28,INR,USD,1.3092
2024-01-28,JPY,USD,0.7572
2024-01-28,AUD,USD,1.0889
2024-01-28,CAD,USD,1.1866
2024-01-28,CHF,USD,0.6438
2024-01-28,CNY,USD,0.8231
2024-01-28,SEK,USD,1.1985
2024-01-28,NZD,USD,0.8538
2024-01-28,SGD,USD,0.733
2024-01-28,HKD,USD,1.1618
2024-01-28,KRW,USD,1.425
2024-01-28,BRL,USD,0.9701
2024-01-28,ZAR,USD,0.9815
2024-01-29,EUR,USD,0.9658
2024-01-29,GBP,USD,0.6811
2024-01-29,INR,USD,0.5513
2024-01-29,JPY,USD,1.3518
2024-01-29,AUD,USD,0.5957
2024-01-29,CAD,USD,1.1439
2024-01-29,CHF,USD,0.7509
2024-01-29,CNY,USD,0.7151
2024-01-29,SEK,USD,0.6555
2024-01-29,NZD,USD,1.3626
2024-01-29,SGD,USD,1.4411
2024-01-29,HKD,USD,0.8204
2024-01-29,KRW,USD,0.6919
2024-01-29,BRL,USD,1.0067
2024-01-29,ZAR,USD,0.5353
2024-01-30,EUR,USD,0.8885
2024-01-30,GBP,USD,0.955
2024-01-30,INR,USD,0.7759
2024-01-30,JPY,USD,0.9923
2024-01-30,AUD,USD,1.3826
2024-01-30,CAD,USD,0.9234
2024-01-30,CHF,USD,0.6682
2024-01-30,CNY,USD,0.751
2024-01-30,SEK,USD,0.7814
2024-01-30,NZD,USD,0.6193
2024-01-30,SGD,USD,1.0926
2024-01-30,HKD,USD,0.9325
2024-01-30,KRW,USD,1.0021
2024-01-30,BRL,USD,1.2922
2024-01-30,ZAR,USD,1.1604
2024-01-31,EUR,USD,0.6033
2024-01-31,GBP,USD,0.8853
2024-01-31,INR,USD,1.3705
2024-01-31,JPY,USD,1.0338
2024-01-31,AUD,USD,1.4906
2024-01-31,CAD,USD,1.1693
2024-01-31,CHF,USD,1.1969
2024-01-31,CNY,USD,0.7671
2024-01-31,SEK,USD,1.0898
2024-01-31,NZD,USD,1.0147
2024-01-31,SGD,USD,1.4849
2024-01-31,HKD,USD,0.6785
2024-01-31,KRW,USD,1.4179
2024-01-31,BRL,USD,1.2722
2024-01-31,ZAR,USD,1.4955
2024-02-01,EUR,USD,0.9935
2024-02-01,GBP,USD,1.277
2024-02-01,INR,USD,1.3866
2024-02-01,JPY,USD,1.2026
2024-02-01,AUD,USD,0.5792
2024-02-01,CAD,USD,1.0018
2024-02-01,CHF,USD,1.4516
2024-02-01,CNY,USD,0.7856
2024-02-01,SEK,USD,1.0984
2024-02-01,NZD,USD,0.7517
2024-02-01,SGD,USD,1.1988
2024-02-01,HKD,USD,1.1467
2024-02-01,KRW,USD,0.5685
2024-02-01,BRL,USD,0.6205
2024-02-01,ZAR,USD,0.5761
2024-02-02,EUR,USD,0.6543
2024-02-02,GBP,USD,1.1984
2024-02-02,INR,USD,1.2809
2024-02-02,JPY,USD,0.7749
2024-02-02,AUD,USD,1.2049
2024-02-02,CAD,USD,0.8562
2024-02-02,CHF,USD,1.3812
2024-02-02,CNY,USD,0.8216
2024-02-02,SEK,USD,1.3233
2024-02-02,NZD,USD,1.2004
2024-02-02,SGD,USD,1.3353
2024-02-02,HKD,USD,0.7482
2024-02-02,KRW,USD,1.1647
2024-02-02,BRL,USD,0.7839
2024-02-02,ZAR,USD,1.4352
2024-02-03,EUR,USD,0.7083
2024-02-03,GBP,USD,1.1578
2024-02-03,INR,USD,0.7429
2024-02-03,JPY,USD,1.1357
2024-02-03,AUD,USD,0.7293
2024-02-03,CAD,USD,1.4662
2024-02-03,CHF,USD,1.2564
2024-02-03,CNY,USD,1.4947
2024-02-03,SEK,USD,1.0937
2024-02-03,NZD,USD,1.3121
2024-02-03,SGD,USD,0.8867
2024-02-03,HKD,USD,1.0277
2024-02-03,KRW,USD,1.1897
2024-02-03,BRL,USD,0.9898
2024-02-03,ZAR,USD,1.4127
2024-02-04,EUR,USD,1.0489
2024-02-04,GBP,USD,0.8668
2024-02-04,INR,USD,0.9702
2024-02-04,JPY,USD,1.3009
2024-02-04,AUD,USD,0.6068
2024-02-04,CAD,USD,1.0974
2024-02-04,CHF,USD,1.488
2024-02-04,CNY,USD,0.5544
2024-02-04,SEK,USD,1.37
2024-02-04,NZD,USD,0.6939
2024-02-04,SGD,USD,1.1447
2024-02-04,HKD,USD,0.8262
2024-02-04,KRW,USD,0.9333
2024-02-04,BRL,USD,1.2645
2024-02-04,ZAR,USD,1.1142
2024-02-05,EUR,USD,0.9059
2024-02-05,GBP,USD,1.3998
2024-02-05,INR,USD,0.8395
2024-02-05,JPY,USD,1.0772
2024-02-05,AUD,USD,1.449
2024-02-05,CAD,USD,1.4593
2024-02-05,CHF,USD,0.7688
2024-02-05,CNY,USD,1.017
2024-02-05,SEK,USD,1.4926
2024-02-05,NZD,USD,0.8578
2024-02-05,SGD,USD,0.7015
2024-02-05,HKD,USD,1.1103
2024-02-05,KRW,USD,1.1633
2024-02-05,BRL,USD,1.4744
2024-02-05,ZAR,USD,1.1817
2024-02-06,EUR,USD,0.6691
2024-02-06,GBP,USD,0.5906
2024-02-06,INR,USD,0.8359
2024-02-06,JPY,USD,1.4825
2024-02-06,AUD,USD,1.1586
2024-02-06,CAD,USD,1.1352
2024-02-06,CHF,USD,0.6416
2024-02-06,CNY,USD,0.7089
2024-02-06,SEK,USD,1.3118
2024-02-06,NZD,USD,0.7479
2024-02-06,SGD,USD,1.1117
2024-02-06,HKD,USD,1.4357
2024-02-06,KRW,USD,1.2721
2024-02-06,BRL,USD,0.7935
2024-02-06,ZAR,USD,0.5525
2024-02-07,EUR,USD,0.5039
2024-02-07,GBP,USD,0.9534
2024-02-07,INR,USD,1.2363
2024-02-07,JPY,USD,0.5606
2024-02-07,AUD,USD,1.2408
2024-02-07,CAD,USD,0.6765
2024-02-07,CHF,USD,0.819
2024-02-07,CNY,USD,1.2121
2024-02-07,SEK,USD,1.3709
2024-02-07,NZD,USD,1.2545
2024-02-07,SGD,USD,1.0488
2024-02-07,HKD,USD,0.9163
2024-02-07,KRW,USD,1.478
2024-02-07,BRL,USD,0.5653
2024-02-07,ZAR,USD,0.5887
2024-02-08,EUR,USD,0.7067
2024-02-08,GBP,USD,0.6615
2024-02-08,INR,USD,0.6123
2024-02-08,JPY,USD,1.4467
2024-02-08,AUD,USD,0.9028
2024-02-08,CAD,USD,1.4854
2024-02-08,CHF,USD,1.2235
2024-02-08,CNY,USD,1.3971
2024-02-08,SEK,USD,0.778
2024-02-08,NZD,USD,1.3927
2024-02-08,SGD,USD,0.9279
2024-02-08,HKD,USD,1.1361
2024-02-08,KRW,USD,1.2534
2024-02-08,BRL,USD,0.7884
2024-02-08,ZAR,USD,1.3421
2024-02-09,EUR,USD,1.1845
2024-02-09,GBP,USD,0.6133
2024-02-09,INR,USD,0.5449
2024-02-09,JPY,USD,1.0638
2024-02-09,AUD,USD,0.6265
2024-02-09,CAD,USD,1.3156
2024-02-09,CHF,USD,0.5463
2024-02-09,CNY,USD,1.3278
2024-02-09,SEK,USD,1.2478
2024-02-09,NZD,USD,1.4904
2024-02-09,SGD,USD,1.4309
2024-02-09,HKD,USD,1.1659
2024-02-09,KRW,USD,0.6786
2024-02-09,BRL,USD,0.6427
2024-02-09,ZAR,USD,1.4097
2024-02-10,EUR,USD,0.9425
2024-02-10,GBP,USD,0.6782
2024-02-10,INR,USD,1.0384
2024-02-10,JPY,USD,1.4216
2024-02-10,AUD,USD,1.0236
2024-02-10,CAD,USD,1.09
2024-02-10,CHF,USD,1.2063
2024-02-10,CNY,USD,1.0338
2024-02-10,SEK,USD,0.826
2024-02-10,NZD,USD,0.9077
2024-02-10,SGD,USD,0.9507
2024-02-10,HKD,USD,0.9126
2024-02-10,KRW,USD,0.8419
2024-02-10,BRL,USD,0.824
2024-02-10,ZAR,USD,0.7051
2024-02-11,EUR,USD,1.3518
2024-02-11,GBP,USD,1.3998
2024-02-11,INR,USD,1.0244
2024-02-11,JPY,USD,1.1705
2024-02-11,AUD,USD,1.4764
2024-02-11,CAD,USD,1.0083
2024-02-11,CHF,USD,0.7845
2024-02-11,CNY,USD,1.4473
2024-02-11,SEK,USD,1.0711
2024-02-11,NZD,USD,0.6484
2024-02-11,SGD,USD,0.64
2024-02-11,HKD,USD,1.1148
2024-02-11,KRW,USD,0.54
2024-02-11,BRL,USD,0.8709
2024-02-11,ZAR,USD,0.6026
2024-02-12,EUR,USD,0.5964
2024-02-12,GBP,USD,1.4671
2024-02-12,INR,USD,1.1593
2024-02-12,JPY,USD,0.7459
2024-02-12,AUD,USD,0.604
2024-02-12,CAD,USD,1.2298
2024-02-12,CHF,USD,1.3663
2024-02-12,CNY,USD,1.4967
2024-02-12,SEK,USD,0.7715
2024-02-12,NZD,USD,0.8106
2024-02-12,SGD,USD,0.7756
2024-02-12,HKD,USD,0.7898
2024-02-12,KRW,USD,1.3743
2024-02-12,BRL,USD,1.4483
2024-02-12,ZAR,USD,0.5864
2024-02-13,EUR,USD,1.1251
2024-02-13,GBP,USD,1.4785
2024-02-13,INR,USD,0.5981
2024-02-13,JPY,USD,0.7921
2024-02-13,AUD,USD,1.306
2024-02-13,CAD,USD,1.2969
2024-02-13,CHF,USD,0.7399
2024-02-13,CNY,USD,1.104
2024-02-13,SEK,USD,1.1607
2024-02-13,NZD,USD,0.5024
2024-02-13,SGD,USD,0.9279
2024-02-13,HKD,USD,1.3704
2024-02-13,KRW,USD,1.4015
2024-02-13,BRL,USD,0.9277
2024-02-13,ZAR,USD,1.44
2024-02-14,EUR,USD,1.0287
2024-02-14,GBP,USD,1.196
2024-02-14,INR,USD,0.8528
2024-02-14,JPY,USD,1.3102
2024-02-14,AUD,USD,1.2096
2024-02-14,CAD,USD,0.5393
2024-02-14,CHF,USD,1.1736
2024-02-14,CNY,USD,1.196
2024-02-14,SEK,USD,1.0103
2024-02-14,NZD,USD,0.5431
2024-02-14,SGD,USD,1.3281
2024-02-14,HKD,USD,0.8001
2024-02-14,KRW,USD,1.3357
2024-02-14,BRL,USD,1.3421
2024-02-14,ZAR,USD,0.9215
2024-02-15,EUR,USD,1.3762
2024-02-15,GBP,USD,1.4768
2024-02-15,INR,USD,1.3064
2024-02-15,JPY,USD,1.3127
2024-02-15,AUD,USD,0.6513
2024-02-15,CAD,USD,0.896
2024-02-15,CHF,USD,1.1407
2024-02-15,CNY,USD,0.6966
2024-02-15,SEK,USD,1.2801
2024-02-15,NZD,USD,0.7566
2024-02-15,SGD,USD,0.9292
2024-02-15,HKD,USD,1.444
2024-02-15,KRW,USD,1.1277
2024-02-15,BRL,USD,0.917
2024-02-15,ZAR,USD,0.9324
2024-02-16,EUR,USD,1.1083
2024-02-16,GBP,USD,0.7732
2024-02-16,INR,USD,0.9258
2024-02-16,JPY,USD,0.6369
2024-02-16,AUD,USD,1.1842
2024-02-16,CAD,USD,1.1121
2024-02-16,CHF,USD,1.4991
2024-02-16,CNY,USD,1.0132
2024-02-16,SEK,USD,1.3831
2024-02-16,NZD,USD,0.8242
2024-02-16,SGD,USD,0.6843
2024-02-16,HKD,USD,1.39
2024-02-16,KRW,USD,0.9141
2024-02-16,BRL,USD,1.057
2024-02-16,ZAR,USD,1.1142
2024-02-17,EUR,USD,1.0311
2024-02-17,GBP,USD,0.8283
2024-02-17,INR,USD,0.6634
2024-02-17,JPY,USD,0.626
2024-02-17,AUD,USD,1.2175
2024-02-17,CAD,USD,1.0178
2024-02-17,CHF,USD,0.5034
2024-02-17,CNY,USD,1.356
2024-02-17,SEK,USD,1.3071
2024-02-17,NZD,USD,1.1234
2024-02-17,SGD,USD,1.3304
2024-02-17,HKD,USD,1.1511
2024-02-17,KRW,USD,0.6209
2024-02-17,BRL,USD,1.2476
2024-02-17,ZAR,USD,0.7906
2024-02-18,EUR,USD,0.7143
2024-02-18,GBP,USD,1.2381
2024-02-18,INR,USD,0.8857
2024-02-18,JPY,USD,0.5986
2024-02-18,AUD,USD,1.24
2024-02-18,CAD,USD,1.4504
2024-02-18,CHF,USD,0.6755
2024-02-18,CNY,USD,1.3809
2024-02-18,SEK,USD,0.5791
2024-02-18,NZD,USD,0.9129
2024-02-18,SGD,USD,0.9152
2024-02-18,HKD,USD,1.2946
2024-02-18,KRW,USD,1.1125
2024-02-18,BRL,USD,0.8698
2024-02-18,ZAR,USD,1.1385
2024-02-19,EUR,USD,1.0937
2024-02-19,GBP,USD,1.3315
2024-02-19,INR,USD,0.6121
